Ti,Ni,Cu,Hf,Co,Zr,Pd,Ta,Nb,Al,热加工温度/℃,热加工率/%,一级处理温度/℃,一级处理时间/min,冷却方式,冷加工温度/℃,冷加工率/%,二级处理温度/℃,二级处理时间/min,冷却方式,应力 /Mpa,Ms/℃,Mp,Mf,As,Ap,Af,hysteresis,method,总应变,应变回复率,workout J/cm3,ref,label,备注,,,,
35.5,49.5,0,15,0,0,0,0,0,,,,950,120,WQ,,0,,,,100,189,,158,229,,264,72.244,0,0.822222222,90,0.74,9-2011,(Ni49.5TiHf15)Nb0,0拉伸,,,,
35.5,49.5,0,15,0,0,0,0,0,,,,950,120,WQ,,0,,,,200,192,,157,234,,271,77.947,0,2.574468085,94,4.84,9-2011,(Ni49.5TiHf15)Nb0,1压缩,,,,
35.5,49.5,0,15,0,0,0,0,0,,,,950,120,WQ,,0,,,,300,209,,163,243,,291,85.551,0,4.533333333,90,12.24,9-2011,(Ni49.5TiHf15)Nb0,2三点弯,,,,
35.5,49.5,0,15,0,0,0,0,0,,,,950,120,WQ,,0,,,,400,226,,173,254,,324,100.761,0,5.6875,80,18.2,9-2011,(Ni49.5TiHf15)Nb0,,,,,
35.5,49.5,0,15,0,0,0,0,0,,,,950,120,WQ,,0,,,,500,235,,179,263,,352,125.475,0,6.583333333,60,19.75,9-2011,(Ni49.5TiHf15)Nb0,,,,,
33.725,47.025,0,14.25,0,0,0,0,5,,,,950,120,WQ,,0,,,,100,168,,138,210,,245,79.85,0,0.622222222,90,0.56,9-2011,(Ni49.5TiHf15)Nb5,,,,,
33.725,47.025,0,14.25,0,0,0,0,5,,,,950,120,WQ,,0,,,,200,164,,121,201,,240,85.55,0,1.611111111,90,2.9,9-2011,(Ni49.5TiHf15)Nb5,,,,,
33.725,47.025,0,14.25,0,0,0,0,5,,,,950,120,WQ,,0,,,,300,169,,125,205,,276,98.86,0,3.565217391,92,9.839999999,9-2011,(Ni49.5TiHf15)Nb5,,,,,
33.725,47.025,0,14.25,0,0,0,0,5,,,,950,120,WQ,,0,,,,400,188,,138,219,,314,114.07,0,4.987804878,82,16.36,9-2011,(Ni49.5TiHf15)Nb5,,,,,
33.725,47.025,0,14.25,0,0,0,0,5,,,,950,120,WQ,,0,,,,500,211,,141,234,,348,136.88,0,5.484848485,66,18.1,9-2011,(Ni49.5TiHf15)Nb5,,,,,
31.95,44.55,0,13.5,0,0,0,0,10,,,,950,120,WQ,,0,,,,100,133,,94,179,,216,85.551,0,0.755813953,86,0.65,9-2011,(Ni49.5TiHf15)Nb10,,,,,
31.95,44.55,0,13.5,0,0,0,0,10,,,,950,120,WQ,,0,,,,200,130,,86,168,,211,87.453,0,1.766666667,90,3.180000001,9-2011,(Ni49.5TiHf15)Nb10,,,,,
31.95,44.55,0,13.5,0,0,0,0,10,,,,950,120,WQ,,0,,,,300,138,,89,172,,239,95.057,0,3.340659341,91,9.120000001,9-2011,(Ni49.5TiHf15)Nb10,,,,,
31.95,44.55,0,13.5,0,0,0,0,10,,,,950,120,WQ,,0,,,,400,162,,87,185,,279,106.464,0,4.348314607,89,15.48,9-2011,(Ni49.5TiHf15)Nb10,,,,,
31.95,44.55,0,13.5,0,0,0,0,10,,,,950,120,WQ,,0,,,,500,180,,118,206,,298,119.772,0,4.666666667,78,18.2,9-2011,(Ni49.5TiHf15)Nb10,,,,,
30.175,42.075,0,12.75,0,0,0,0,15,,,,950,120,WQ,,0,,,,100,72,,58,160,,181,95.053,0,0.25,88,0.22,9-2011,(Ni49.5TiHf15)Nb15,,,,,
30.175,42.075,0,12.75,0,0,0,0,15,,,,950,120,WQ,,0,,,,200,83,,52,153,,178,98.861,0,1.137931034,87,1.979999999,9-2011,(Ni49.5TiHf15)Nb15,,,,,
30.175,42.075,0,12.75,0,0,0,0,15,,,,950,120,WQ,,0,,,,300,90,,54,151,,188,100.759,0,2.239130435,92,6.180000001,9-2011,(Ni49.5TiHf15)Nb15,,,,,
30.175,42.075,0,12.75,0,0,0,0,15,,,,950,120,WQ,,0,,,,400,117,,55,144,,220,104.566,0,3.096774194,93,11.52,9-2011,(Ni49.5TiHf15)Nb15,,,,,
30.175,42.075,0,12.75,0,0,0,0,15,,,,950,120,WQ,,0,,,,500,149,,60,146,,261,106.467,0,3.709677419,93,17.25,9-2011,(Ni49.5TiHf15)Nb15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,500,180,WQ,100,41.6,,10.5,65.7,,85.1,42.1382,0,0.96,100,0.96,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,500,180,WQ,200,58.66,,23.2,77.1,,99.3,37.0724,0,2.34,100,4.68,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,500,180,WQ,300,71.41,,35,87.9,,112.9,36.3816,0,2.96,100,8.88,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,500,180,WQ,400,86,,,,,,,0,0,100,-10,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,600,600,WQ,100,103.5,,72,123.9,,155.35,46.0526,0,0.62,100,0.62,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,600,600,WQ,200,110.2,,74,135.5,,165.29,46.6283,0,1.765306122,98,3.459999999,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,600,600,WQ,300,120.2,,76,144.2,,180.71,46.2829,0,2.494845361,97,7.260000001,13-2015,Ni50.3TiHf15,,,,,
34.7,50.3,0,15,0,0,0,0,0,,900,86,900,60,WQ,,0,600,600,WQ,400,131,,,,,,,0,0,100,-10,13-2015,Ni50.3TiHf15,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,500,2880,WQ,100,137.47,,109.63,158.36,,174.59,39.634,0,0.44,100,0.44,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,500,2880,WQ,200,143.52,,117.58,156,,181.29,37.601,0,1.13,100,2.26,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,500,2880,WQ,300,150.83,,119.09,155.56,,191.2,36.585,0,1.66,100,4.98,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,500,2880,WQ,400,156,,,,,,,0,0,100,-10,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,700,5,FC,100,136.52,,70.86,153.42,,191.13,71.138,0,0.2,100,0.2,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,700,5,FC,200,143.02,,71.51,157.98,,208.69,68.089,0,0.63,100,1.26,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,700,5,FC,300,156.02,,68.91,162.53,,223.64,64.024,0,1.03,100,3.09,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,0,0,20,0,0,0,,900,86,900,60,WQ,,0,700,5,FC,400,164,,,,,,,0,0,100,-10,16-2013,Ni50.3TiZr20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,0,0,WQ,,0,,,,100,151.435,,138.652,171.466,,178.128,27.4144,1,0.57,100,0.57,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,0,0,WQ,,0,,,,200,154.826,,131.398,174.478,,199.659,37.1103,1,1.4,100,2.8,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,0,0,WQ,,0,,,,300,163.539,,131.601,172.158,,213.719,43.0038,1,2.5,100,7.5,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,0,0,WQ,,0,,,,400,172.252,,137.108,163.429,,221.383,49.2776,1,2.1,100,8.4,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,0,0,WQ,,0,,,,500,183.109,,134.097,163.21,,246.117,61.0646,1,2.5,100,12.5,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,550,180,WQ,,0,,,,100,199.505,,175.374,213.754,,228.795,25.8935,1,2.71,100,2.71,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,550,180,WQ,,0,,,,200,211.8,,176.575,222.011,,249.164,26.2738,1,3.2,100,6.4,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,550,180,WQ,,0,,,,300,224.088,,178.769,233.29,,266.509,26.0837,1,3.3,100,9.9,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,550,180,WQ,,0,,,,400,235.373,,182.976,245.572,,285.871,29.6958,1,3.5,100,14,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,550,180,WQ,,0,,,,500,247.652,,181.127,256.856,,298.163,35.3992,1,3.2,100,16,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,650,180,WQ,,0,,,,100,199.505,,178.987,217.593,,235.286,38.6312,1,1.1,100,1.1,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,650,180,WQ,,0,,,,200,211.8,,177.649,218.467,,253.842,46.616,1,2,100,4,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,650,180,WQ,,0,,,,300,224.088,,174.134,228.193,,274.618,52.6996,1,2.6,100,7.8,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,650,180,WQ,,0,,,,400,235.373,,171.728,239.02,,282.135,53.27,1,3,100,12,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,86,650,180,WQ,,0,,,,500,247.652,,173.741,238.827,,290.306,67.7186,1,3.2,95,15.2,23-2013,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,89,550,180,AC,,0,,,,300,184.6,,127.6,170.8,,211.3,18,0,4,95,11.4,38-2017,Ni50.3THf20,,,,,
29.7,50.3,0,20,0,0,0,0,0,,900,89,550,180,AC,,0,,,,400,211.7,,135.5,176.5,,229.3,18,0,4,90,14.4,38-2017,Ni50.3THf20,,,,,
33.5,50.5,,16,,,,,,,900,89,550,180,AC,,0,,,,300,116,,99,145,,169,,0,4.2,100,12.6,261-2024,NiTiHf,,,,,
30.4,50.6,,19,,,,,,,900,89,550,180,AC,,0,,,,300,161,,144,182,,195,,0,3.6,100,10.8,261-2024,NiTiHf,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,10,-5.2,,,,,,37.297,0,0.91,100,0.091,262-2019,TiNiCuAl,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,100,3,,,,,,39.567,0,1.7,100,1.7,262-2019,TiNiCuAl,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,200,19.2,,,,,,38.916,0,3.3,100,6.6,262-2019,TiNiCuAl,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,300,39.2,,,,,,44.432,0,4.2,91,11.466,262-2019,TiNiCuAl,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,400,53.3,,,,,,41.19,0,6.7,88,23.584,262-2019,TiNiCuAl,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,500,69.8,,,,,,46.378,0,6.7,83,27.805,262-2019,TiNiCuAl,,,,,
50,44,5,,,,,,,1,850,50,,,,25,50,400,5,WQ,600,83.7,,,,,,50.595,0,7,77,32.34,262-2019,TiNiCuAl,,,,,
49.2,44.8,,,6,,,,,,1000,90,,,,25,45,400,60,WQ,200,-226.2,,,,,,,0,0.12,100,0.24,283-2013,TiNiCo,,,,,
49.2,44.8,,,6,,,,,,1000,90,,,,25,45,400,60,WQ,400,-168.2,,,,,,42.552,0,0.66,100,2.64,283-2013,TiNiCo,,,,,
49.2,44.8,,,6,,,,,,1000,90,,,,25,45,400,60,WQ,600,-110.2,,,,,,44.681,0,3.86,100,23.16,283-2013,TiNiCo,,,,,
49.2,44.8,,,6,,,,,,1000,90,,,,25,45,400,60,WQ,800,-53.5,,,,,,36.166,0,4.66,96.7,36.08,283-2013,TiNiCo,,,,,
49.2,49.8,,,1,,,,,,1000,90,,,,25,45,400,60,WQ,100,-36,,,,,,81.9214,0,2.5350846,96.94508814,2.42,283-2013,TiNiCo,,,,,
49.2,49.8,,,1,,,,,,1000,90,,,,25,45,400,60,WQ,200,-10.1,,,,,,59.5775,0,4.500123,97.65844178,8.72,283-2013,TiNiCo,,,,,
49.2,49.8,,,1,,,,,,1000,90,,,,25,45,400,60,WQ,400,25.9,,,,,,44.684,0,6.049727,95.28694435,22.88,283-2013,TiNiCo,,,,,
49.2,49.8,,,1,,,,,,1000,90,,,,25,45,400,60,WQ,600,60.2,,,,,,48.9395,0,6.409312,86.55624816,32.82,283-2013,TiNiCo,,,,,
49.2,46.8,,,4,,,,,,1000,90,,,,25,45,400,60,WQ,400,-100,,,,,,63.826,0,4.2400081,99.7059416,16,283-2013,TiNiCo,,,,,
49.2,46.8,,,4,,,,,,1000,90,,,,25,45,400,60,WQ,600,-54,,,,,,54.258,0,5.1942051,98.21137021,30.24,283-2013,TiNiCo,,,,,
49.2,46.8,,,4,,,,,,1000,90,,,,25,45,400,60,WQ,800,-8,,,,,,37.244,0,5.628094,85.02310018,36.8,283-2013,TiNiCo,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,250,30,WQ,200,-77.727,,,,,,49.949,0,0.474,87.1499789,0.8261818,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,350,5,WQ,200,-68.108,,,,,,37.149,0,1.05,91.60173333,1.9236364,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,350,10,WQ,200,-62.123,,,,,,56.19,0,1.2,93.2197,2.2372728,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,400,2,WQ,200,-54.333,,,,,,56.816,0,2.59,97.70094595,5.060909,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,400,3,WQ,200,-49.912,,,,,,58.065,0,3.01,98.20296013,5.9118182,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,485,2,WQ,200,-41.076,,,,,,68.679,0,3.59,97.27779109,6.9845454,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,520,3,WQ,200,-32.498,,,,,,67.743,0,4.3,96.5222093,8.30091,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,550,5,WQ,200,-24.966,,,,,,39.335,0,5.5,93.11570909,10.242728,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,580,8,WQ,200,-18.732,,,,,,39.023,0,5.89,90.79332767,10.695454,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,250,30,WQ,300,-18.739,,,,,,24.349,0,0.85,96.84491765,2.4695454,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,350,5,WQ,300,-6.294,,,,,,36.835,0,1.37,91.57262774,3.763635,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,350,10,WQ,300,0.249,,,,,,37.148,0,2.08,93.79370192,5.852727,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,400,2,WQ,300,9.241,,,,,,37.773,0,3.13,97.1826901,9.1254546,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,400,3,WQ,300,15.161,,,,,,43.394,0,3.96,97.70431566,11.6072727,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,485,2,WQ,300,23.244,,,,,,51.187,0,4.22,96.87635071,12.264546,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,520,3,WQ,300,31.008,,,,,,43.393,0,4.88,96.06930328,14.064546,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,550,5,WQ,300,34.736,,,,,,35.588,0,5.86,92.67762799,16.292727,265-2022,TiNi,,,,,
49.96,50.04,,,,,,,,,,,,,,25,50,580,8,WQ,300,39.71,,,,,,34.34,0,6.3,89.29293651,16.876365,265-2022,TiNi,,,,,
30,35,,20,,,15,,,,,,1050,120,WQ,,,,,,10,468.3,,,,,,,1,0.8,100,0.08,268-2019,TiNiHfPd,,,,,
30,35,,20,,,15,,,,,,1050,120,WQ,,,,,,25,495.1,,,,,,,1,0.8,100,0.2,268-2019,TiNiHfPd,,,,,
30,35,,20,,,15,,,,,,1050,120,WQ,,,,,,75,510.6,,,,,,,1,0.8,100,0.6,268-2019,TiNiHfPd,,,,,
16.67,25,15,16.67,10,16.67,,,,,,,1000,120,WQ,,,,,,200,66.9,,,,,,56.6434,2,1.7,100,3.4,269-2019,TiZrHfNiCoCu,,,,,
16.67,25,15,16.67,10,16.67,,,,,,,1000,120,WQ,,,,,,500,79.2,,,,,,72.9604,2,4.1,95,19.5,269-2019,TiZrHfNiCoCu,,,,,
16.67,25,15,16.67,10,16.67,,,,,,,1000,120,WQ,,,,,,650,87.5,,,,,,82.0513,2,5.1,94,31.2,269-2019,TiZrHfNiCoCu,,,,,
50,50,,,,,,,,,,,900,60,WQ,,,,,,100,46.5,,,,,,59.8,2,1.8,100,1.8,269-2019,TiNi,,,,,
50,50,,,,,,,,,,,900,60,WQ,,,,,,200,50.9,,,,,,71.9,2,4.9,100,9.8,269-2019,TiNi,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,,,,300,81.6129,,,,,,47.6506,1,0.25,100,0.75,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,,,,500,83.0645,,,,,,49.8595,1,0.45,80,1.8,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,,,,700,88.871,,,,,,59.9827,1,0.59,61,2.5193,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,,,,1000,95.1613,,,,,,64.2037,1,0.79,53,4.187,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,,,,300,52.0968,,,,,,61.0827,1,0.54,95,1.539,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,,,,500,62.5806,,,,,,65.6152,1,0.88,87,3.828,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,,,,700,75.1613,,,,,,78.133,1,1.34,75,7.035,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,,,,1000,90.4839,,,,,,96.8755,1,1.8,58,10.44,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,300,70.6309,,,,,,36.5782,1,0.54,100,1.62,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,500,77.228,,,,,,52.1144,1,0.9,67,3.015,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,700,88.1656,,,,,,66.4699,1,0.96,60,4.032,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,1000,101.509,,,,,,60.1765,1,1.1,50,5.5,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,300,44.3567,,,,,,35.794,1,0.74,87,1.9314,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,500,54.8523,,,,,,51.2382,1,1.01,70,3.535,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,700,62.7875,,,,,,52.2774,1,1.24,58,5.0344,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,1000,75.2741,,,,,,44.412,1,1.5,40,6,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,300,128.25,,,,,,54.868,1,0.4,50,0.6,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,500,131.151,,,,,,53.884,1,0.4,50,1,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,700,136.421,,,,,,66.077,1,0.5,40,1.4,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,1000,139.314,,,,,,50.737,1,0.7,30,2.1,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,300,75.9901,,,,,,48.713,1,0.6,80,1.44,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,500,86.2376,,,,,,52.129,1,0.97,64,3.104,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,700,92.0297,,,,,,60.298,1,1.21,50,4.235,270-2018,TiNiHfPd,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,100,284.431,,,,,,55.0397,0,0.597643,100,0.597643,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,200,294.162,,,,,,62.6938,0,1.79638,100,3.59276,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,300,295.641,,,,,,70.8786,0,2.51416,100,7.54248,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,400,305.611,,,,,,78.8006,0,2.93433,100,11.73732,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,500,312.335,,,,,,76.3551,0,3.09513,100,15.47565,73-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,500,-25.2004,,,,,,18.2857,1,0.141862,100,0.70931,48-2017,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,700,-19.557,,,,,,28.5714,1,0.510639,100,3.574473,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1000,6.54443,,,,,,23.1429,1,0.993129,100,9.93129,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1200,27.7566,,,,,,18,1,1.07376,100,12.88512,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1500,61.2075,,,,,,21.7143,1,1.26279,100,18.94185,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1700,76.7,,,,,,21.7143,1,1.32985,100,22.60745,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,100,56.6335,,,,,,40.5714,1,0.284824,100,0.284824,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,300,84.637,,,,,,38,1,0.702452,100,2.107356,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,400,99.5458,,,,,,36.2857,1,1.09296,100,4.37184,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,700,119.369,,,,,,35.4286,1,1.28507,100,8.99549,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,1000,137.634,,,,,,36.2857,1,1.54194,100,15.4194,48-2018,TiNiHf,,,,,
